"","WT.16wk.7","WT.16wk.6","WT.16wk.2","YI.6wk.4","YI.6wk.2","YI.6wk.3","YI.6wk.1"
"ENSG00000151320",3.80458201341483,3.26367212462035,3.28624466021925,4.17644473321056,3.93519611132338,3.17258340879651,3.3163513226991
"ENSG00000151322",1.99776075709562,2.53110339020084,2.77339086196463,3.91333379567436,3.10855383788086,2.80991847059414,2.45436271746971
"ENSG00000151327",5.31901640081116,5.14636920499252,5.04894302095262,5.1766360447067,5.68697076086453,5.17283238352211,5.58638801220197
"ENSG00000151332",5.72499042933726,5.39606246394781,5.68897648121539,6.21626264007417,7.20735243588946,5.90983117107223,6.95674804634965
"ENSG00000151338",7.27315726216828,6.8425669795016,7.00499575126068,7.21630916829915,7.26212786318013,7.10100064203414,7.26062912547754
"ENSG00000151348",9.51271749210202,9.53512186387206,9.67630655925366,9.3129531406711,9.26179756589632,9.48478561777144,9.348336631083
"ENSG00000151353",7.95122193464166,8.16416337680729,7.86133193226094,7.69336942976254,7.51610238650847,7.71722165662228,7.62227918236378
"ENSG00000151360",9.91587989539732,10.0567165950355,10.0371495739624,9.99131399070279,9.33175491166636,9.89325149332019,9.25090554901987
"ENSG00000151364",7.39791069543656,7.74277464187728,7.78065377395762,6.70727583597616,6.8140144905606,7.15271644636678,6.90374698789284
"ENSG00000151365",4.4565810694393,3.40057503700549,3.42338320457025,9.45810360427317,3.63665518278369,5.61763924230023,3.73573354501497
"ENSG00000151376",12.3307285750098,12.0984731706108,11.6283076110006,11.7356711501073,11.2938371257077,11.5585371433069,11.3342111398474
"ENSG00000151379",3.31924058602964,3.26367212462035,3.28624466021925,2.81327322391151,3.63665518278369,3.4621503874464,4.15402102150777
"ENSG00000151388",5.35463848775506,5.39606246394781,4.66228384881319,6.72108226610181,7.0081113869956,6.46238803612865,6.79151960835923
"ENSG00000151413",7.29165336009152,7.49771699062763,7.58255284793716,7.59182896589824,7.70588141864597,7.47870701257707,7.84245213995717
"ENSG00000151414",8.20159484796657,8.33192518594079,8.02114339489703,7.8523624415754,8.08076737874467,8.13226271220215,8.09973330681374
"ENSG00000151422",7.73849452584431,7.74277464187728,7.79336326346078,8.68636563406042,8.61744321827849,8.10101154459236,8.60207299119979
"ENSG00000151445",8.801151278915,8.70676482112832,8.78693385578264,8.38626001810695,8.30167221458313,8.32490912375517,8.36287304641925
"ENSG00000151458",8.48083769763946,8.39063977231412,8.53404954346612,9.02647979016901,8.94771575914639,8.87950095477124,9.00574035107143
"ENSG00000151461",9.08448190646268,9.02800218156048,8.9965469906221,9.18679954721559,9.50451082375633,9.18040474273174,9.43493981064382
